# path_id,x,y,z
52,37.500000,30.500000,-5.000000
52,36.500000,29.500000,-5.000000
52,28.500000,36.500000,-5.000000
52,19.500000,37.500000,-5.000000
53,-6.500000,-17.500000,-5.000000
53,-28.500000,8.500000,-5.000000
53,-29.500000,12.500000,-5.000000
53,-30.500000,11.500000,-5.000000
53,-40.500000,13.500000,-5.000000
53,-40.500000,32.500000,-5.000000
54,-39.500000,4.500000,-5.000000
54,-26.500000,-3.500000,-5.000000
54,-15.500000,-9.500000,-5.000000
54,-12.500000,-21.500000,-5.000000
55,-48.500000,-22.500000,-5.000000
55,-45.500000,-20.500000,-5.000000
55,-41.500000,-18.500000,-5.000000
55,-37.500000,-14.500000,-5.000000
55,-11.500000,7.500000,-5.000000
55,-11.500000,8.500000,-5.000000
55,-10.500000,9.500000,-5.000000
55,-10.500000,10.500000,-5.000000
55,2.500000,23.500000,-5.000000
55,2.500000,24.500000,-5.000000
55,13.500000,35.500000,-5.000000
55,33.500000,39.500000,-5.000000
56,-26.500000,3.500000,-5.000000
56,-12.500000,-0.500000,-5.000000
56,1.500000,-3.500000,-5.000000
57,-29.500000,3.500000,-5.000000
57,-26.500000,11.500000,-5.000000
57,-25.500000,10.500000,-5.000000
57,-20.500000,17.500000,-5.000000
58,-14.500000,-10.500000,-5.000000
58,-33.500000,8.500000,-5.000000
58,-32.500000,9.500000,-5.000000
58,-32.500000,10.500000,-5.000000
58,-40.500000,13.500000,-5.000000
58,-40.500000,23.500000,-5.000000
59,-8.500000,-26.500000,-5.000000
59,-15.500000,-10.500000,-5.000000
59,-29.500000,-7.500000,-5.000000
59,-30.500000,-8.500000,-5.000000
59,-46.500000,-3.500000,-5.000000
60,40.500000,0.500000,-5.000000
60,15.500000,-7.500000,-5.000000
60,-22.500000,-10.500000,-5.000000
60,-23.500000,-11.500000,-5.000000
60,-24.500000,-10.500000,-5.000000
60,-39.500000,-19.500000,-5.000000
60,-48.500000,-20.500000,-5.000000
61,-42.500000,-36.500000,-5.000000
61,-22.500000,-4.500000,-5.000000
62,22.500000,-11.500000,-5.000000
62,20.500000,1.500000,-5.000000
62,19.500000,2.500000,-5.000000
62,11.500000,35.500000,-5.000000
63,47.500000,-5.500000,-5.000000
63,10.500000,-7.500000,-5.000000
63,9.500000,-8.500000,-5.000000
63,-14.500000,-16.500000,-5.000000
64,38.500000,-16.500000,-5.000000
64,26.500000,-12.500000,-5.000000
64,-8.500000,-12.500000,-5.000000
64,-9.500000,-11.500000,-5.000000
64,-42.500000,-12.500000,-5.000000
65,-49.500000,25.500000,-5.000000
65,-37.500000,11.500000,-5.000000
65,-29.500000,13.500000,-5.000000
65,-28.500000,12.500000,-5.000000
65,-15.500000,19.500000,-5.000000
66,3.500000,30.500000,-5.000000
66,1.500000,13.500000,-5.000000
66,3.500000,1.500000,-5.000000
66,4.500000,0.500000,-5.000000
66,5.500000,0.500000,-5.000000
66,12.500000,-41.500000,-5.000000
67,11.500000,-48.500000,-5.000000
67,17.500000,-40.500000,-5.000000
67,18.500000,-40.500000,-5.000000
67,27.500000,-37.500000,-5.000000
67,29.500000,-35.500000,-5.000000
67,29.500000,-33.500000,-5.000000
67,30.500000,-32.500000,-5.000000
67,30.500000,-31.500000,-5.000000
67,31.500000,-30.500000,-5.000000
67,31.500000,-14.500000,-5.000000
68,41.500000,-9.500000,-5.000000
68,16.500000,-6.500000,-5.000000
68,15.500000,-5.500000,-5.000000
68,-13.500000,-1.500000,-5.000000
69,-24.500000,17.500000,-5.000000
69,-16.500000,-8.500000,-5.000000
69,-14.500000,-10.500000,-5.000000
69,-14.500000,-19.500000,-5.000000
70,-20.500000,-11.500000,-5.000000
70,-26.500000,-11.500000,-5.000000
70,-29.500000,-24.500000,-5.000000
70,-31.500000,-32.500000,-5.000000
71,43.500000,34.500000,-5.000000
71,18.500000,37.500000,-5.000000
71,0.500000,22.500000,-5.000000
71,-0.500000,21.500000,-5.000000
71,-0.500000,20.500000,-5.000000
71,-36.500000,11.500000,-5.000000
71,-47.500000,19.500000,-5.000000
72,-37.500000,-5.500000,-5.000000
72,-34.500000,-3.500000,-5.000000
72,-33.500000,-3.500000,-5.000000
72,-11.500000,7.500000,-5.000000
72,-11.500000,9.500000,-5.000000
72,16.500000,41.500000,-5.000000
73,35.500000,-10.500000,-5.000000
73,7.500000,11.500000,-5.000000
73,6.500000,10.500000,-5.000000
73,-4.500000,18.500000,-5.000000
73,-9.500000,24.500000,-5.000000
74,16.500000,-31.500000,-5.000000
74,16.500000,-13.500000,-5.000000
74,18.500000,-11.500000,-5.000000
74,19.500000,-12.500000,-5.000000
74,28.500000,-12.500000,-5.000000
74,42.500000,-6.500000,-5.000000
75,33.500000,-0.500000,-5.000000
75,6.500000,28.500000,-5.000000
75,6.500000,29.500000,-5.000000
75,1.500000,40.500000,-5.000000
75,-8.500000,43.500000,-5.000000
76,-3.500000,-28.500000,-5.000000
76,15.500000,15.500000,-5.000000
76,14.500000,16.500000,-5.000000
76,14.500000,34.500000,-5.000000
76,23.500000,39.500000,-5.000000
77,46.500000,41.500000,-5.000000
